"canonicalId","name","description","module","path","install_to_spectra"
"spectra-agent-chronicle","spectra-agent-chronicle","Security Documentation Specialist. Use when the user asks to talk to Chronicle or needs pentest reports, incident reports, executive briefs, or any security documentation.","core","_spectra/core/spectra-agent-chronicle/SKILL.md","true"
"spectra-agent-red-lead","spectra-agent-red-lead","Red Team Lead. Use when the user asks to talk to Viper or requests red team coordination.","rtk","_spectra/rtk/agents/spectra-agent-red-lead/SKILL.md","true"
"spectra-agent-recon","spectra-agent-recon","Recon and OSINT Specialist. Use when the user asks to talk to Ghost or needs reconnaissance.","rtk","_spectra/rtk/agents/spectra-agent-recon/SKILL.md","true"
"spectra-agent-exploit","spectra-agent-exploit","Exploit Developer. Use when the user asks to talk to Razor or needs vulnerability exploitation.","rtk","_spectra/rtk/agents/spectra-agent-exploit/SKILL.md","true"
"spectra-agent-operator","spectra-agent-operator","Attack Operator. Use when the user asks to talk to Phantom or needs post-exploitation operations.","rtk","_spectra/rtk/agents/spectra-agent-operator/SKILL.md","true"
"spectra-agent-social-eng","spectra-agent-social-eng","Social Engineer. Use when the user asks to talk to Mirage or needs social engineering assessment.","rtk","_spectra/rtk/agents/spectra-agent-social-eng/SKILL.md","true"
"spectra-agent-blade","spectra-agent-blade","Quick Pentester. Use when the user asks to talk to Blade or needs rapid vulnerability assessment.","rtk","_spectra/rtk/agents/spectra-agent-blade/SKILL.md","true"
"spectra-external-recon","spectra-external-recon","Full external reconnaissance workflow. Use when the user says ""run external recon"" or ""start reconnaissance"".","rtk","_spectra/rtk/workflows/spectra-external-recon/SKILL.md","true"
"spectra-initial-access","spectra-initial-access","Initial access planning and execution workflow. Use when the user says ""plan initial access"" or ""phishing campaign"".","rtk","_spectra/rtk/workflows/spectra-initial-access/SKILL.md","true"
"spectra-privesc","spectra-privesc","Privilege escalation workflow. Use when the user says ""escalate privileges"" or ""privesc"".","rtk","_spectra/rtk/workflows/spectra-privesc/SKILL.md","true"
"spectra-lateral-movement","spectra-lateral-movement","Lateral movement workflow. Use when the user says ""lateral movement"" or ""pivot"".","rtk","_spectra/rtk/workflows/spectra-lateral-movement/SKILL.md","true"
"spectra-exfiltration","spectra-exfiltration","Data exfiltration workflow. Use when the user says ""exfiltrate"" or ""data extraction"".","rtk","_spectra/rtk/workflows/spectra-exfiltration/SKILL.md","true"
"spectra-agent-soc-manager","spectra-agent-soc-manager","SOC Manager. Use when the user asks to talk to Commander or needs SOC operations coordination.","soc","_spectra/soc/agents/spectra-agent-soc-manager/SKILL.md","true"
"spectra-agent-l1-triage","spectra-agent-l1-triage","L1 Triage Analyst. Use when the user asks to talk to Watchdog or needs alert triage.","soc","_spectra/soc/agents/spectra-agent-l1-triage/SKILL.md","true"
"spectra-agent-l2-investigator","spectra-agent-l2-investigator","L2 Investigator. Use when the user asks to talk to Tracker or needs incident investigation.","soc","_spectra/soc/agents/spectra-agent-l2-investigator/SKILL.md","true"
"spectra-agent-l3-hunter","spectra-agent-l3-hunter","L3 Threat Hunter. Use when the user asks to talk to Hawk or needs threat hunting.","soc","_spectra/soc/agents/spectra-agent-l3-hunter/SKILL.md","true"
"spectra-agent-detection-eng","spectra-agent-detection-eng","Detection Engineer. Use when the user asks to talk to Sentinel or needs detection rule creation.","soc","_spectra/soc/agents/spectra-agent-detection-eng/SKILL.md","true"
"spectra-agent-shield","spectra-agent-shield","Quick SOC Analyst. Use when the user asks to talk to Shield or needs rapid alert analysis.","soc","_spectra/soc/agents/spectra-agent-shield/SKILL.md","true"
"spectra-alert-triage","spectra-alert-triage","Alert triage workflow. Use when the user says ""triage this alert"" or ""analyze this alert"".","soc","_spectra/soc/workflows/spectra-alert-triage/SKILL.md","true"
"spectra-phishing-response","spectra-phishing-response","Phishing incident response workflow. Use when the user says ""phishing response"" or ""analyze this email"".","soc","_spectra/soc/workflows/spectra-phishing-response/SKILL.md","true"
"spectra-threat-hunt","spectra-threat-hunt","Threat hunting workflow. Use when the user says ""start a hunt"" or ""hunt for threats"".","soc","_spectra/soc/workflows/spectra-threat-hunt/SKILL.md","true"
"spectra-detection-lifecycle","spectra-detection-lifecycle","Detection rule lifecycle workflow. Use when the user says ""create detection rule"" or ""write sigma rule"".","soc","_spectra/soc/workflows/spectra-detection-lifecycle/SKILL.md","true"
"spectra-agent-handler","spectra-agent-handler","Incident Handler. Use when the user asks to talk to Dispatch or needs incident coordination.","irt","_spectra/irt/agents/spectra-agent-handler/SKILL.md","true"
"spectra-agent-forensics","spectra-agent-forensics","Forensic Analyst. Use when the user asks to talk to Trace or needs digital forensics.","irt","_spectra/irt/agents/spectra-agent-forensics/SKILL.md","true"
"spectra-agent-malware","spectra-agent-malware","Malware Analyst. Use when the user asks to talk to Scalpel or needs malware analysis.","irt","_spectra/irt/agents/spectra-agent-malware/SKILL.md","true"
"spectra-agent-threat-intel","spectra-agent-threat-intel","Threat Intelligence Analyst. Use when the user asks to talk to Oracle or needs threat intelligence.","irt","_spectra/irt/agents/spectra-agent-threat-intel/SKILL.md","true"
"spectra-agent-surge","spectra-agent-surge","Quick Responder. Use when the user asks to talk to Surge or needs rapid incident response.","irt","_spectra/irt/agents/spectra-agent-surge/SKILL.md","true"
"spectra-incident-handling","spectra-incident-handling","Full incident handling workflow following NIST 800-61. Use when the user says ""handle incident"" or ""incident response"".","irt","_spectra/irt/workflows/spectra-incident-handling/SKILL.md","true"
"spectra-digital-forensics","spectra-digital-forensics","Digital forensics workflow. Use when the user says ""forensic analysis"" or ""analyze evidence"".","irt","_spectra/irt/workflows/spectra-digital-forensics/SKILL.md","true"
"spectra-malware-analysis","spectra-malware-analysis","Malware analysis workflow. Use when the user says ""analyze malware"" or ""reverse engineer sample"".","irt","_spectra/irt/workflows/spectra-malware-analysis/SKILL.md","true"
"spectra-threat-intel-workflow","spectra-threat-intel-workflow","Threat intelligence workflow. Use when the user says ""threat intel"" or ""analyze campaign"".","irt","_spectra/irt/workflows/spectra-threat-intel/SKILL.md","true"
"spectra-agent-risk","spectra-agent-risk","Risk Analyst. Use when the user asks to talk to Arbiter or needs risk assessment.","grc","_spectra/grc/agents/spectra-agent-risk/SKILL.md","true"
"spectra-agent-compliance","spectra-agent-compliance","Compliance Auditor. Use when the user asks to talk to Auditor or needs compliance assessment.","grc","_spectra/grc/agents/spectra-agent-compliance/SKILL.md","true"
"spectra-agent-policy","spectra-agent-policy","Policy Author. Use when the user asks to talk to Scribe or needs policy documentation.","grc","_spectra/grc/agents/spectra-agent-policy/SKILL.md","true"
"spectra-risk-assessment","spectra-risk-assessment","Risk assessment workflow following NIST 800-30/FAIR. Use when the user says ""assess risk"" or ""risk analysis"".","grc","_spectra/grc/workflows/spectra-risk-assessment/SKILL.md","true"
"spectra-compliance-audit","spectra-compliance-audit","Compliance audit workflow. Use when the user says ""compliance audit"" or ""assess controls"".","grc","_spectra/grc/workflows/spectra-compliance-audit/SKILL.md","true"
"spectra-policy-lifecycle","spectra-policy-lifecycle","Policy lifecycle workflow. Use when the user says ""create policy"" or ""draft policy"".","grc","_spectra/grc/workflows/spectra-policy-lifecycle/SKILL.md","true"
"spectra-agent-referee","spectra-agent-referee","Exercise Referee and Duel Mode adjudicator. Use when the user asks to talk to Referee or needs Red/Blue ledger correlation, scoring, or exercise fairness review.","core","_spectra/core/spectra-agent-referee/SKILL.md","true"
"spectra-agent-appsec","spectra-agent-appsec","AppSec and API Security Specialist. Use when the user asks to talk to Forge or needs application, API, authentication, authorization, or business-logic security assessment.","rtk","_spectra/rtk/agents/spectra-agent-appsec/SKILL.md","true"
"spectra-agent-identity","spectra-agent-identity","Identity and Access Security Specialist. Use when the user asks to talk to Keystone or needs AD, Entra ID, Okta, IAM, OAuth, privilege, or session security analysis.","soc","_spectra/soc/agents/spectra-agent-identity/SKILL.md","true"
"spectra-agent-telemetry","spectra-agent-telemetry","Telemetry Engineer. Use when the user asks to talk to Signal or needs log-source coverage, parser quality, SIEM pipeline readiness, or Blue Live data-source validation.","soc","_spectra/soc/agents/spectra-agent-telemetry/SKILL.md","true"
"spectra-agent-cloud","spectra-agent-cloud","Cloud Security Specialist. Use when the user asks to talk to Stratus or needs AWS, Azure, GCP, Kubernetes, SaaS logs, cloud IAM, cloud forensics, or cloud incident response.","irt","_spectra/irt/agents/spectra-agent-cloud/SKILL.md","true"
"spectra-agent-privacy","spectra-agent-privacy","Privacy and Breach Governance Specialist. Use when the user asks to talk to Counsel or needs privacy impact, breach notification, legal hold, regulatory exposure, or data governance analysis. Not a substitute for qualified legal counsel.","grc","_spectra/grc/agents/spectra-agent-privacy/SKILL.md","true"
"spectra-appsec-assessment","spectra-appsec-assessment","Application and API security assessment workflow. Use for authorized AppSec/API review, authentication and authorization testing plans, business-logic review, and remediation-ready evidence.","rtk","_spectra/rtk/workflows/spectra-appsec-assessment/SKILL.md","true"
"spectra-identity-detection-review","spectra-identity-detection-review","Identity detection and control review workflow. Use for AD, Entra ID, Okta, IAM, OAuth, session, MFA, and privilege-path defensive coverage analysis.","soc","_spectra/soc/workflows/spectra-identity-detection-review/SKILL.md","true"
"spectra-telemetry-readiness","spectra-telemetry-readiness","Telemetry readiness workflow. Use for log-source coverage, parsing quality, field normalization, retention, SIEM pipeline readiness, and Blue Live source validation.","soc","_spectra/soc/workflows/spectra-telemetry-readiness/SKILL.md","true"
"spectra-cloud-incident-response","spectra-cloud-incident-response","Cloud incident response workflow. Use for AWS, Azure, GCP, Kubernetes, and SaaS incident triage, blast-radius analysis, containment planning, evidence, and recovery.","irt","_spectra/irt/workflows/spectra-cloud-incident-response/SKILL.md","true"
"spectra-privacy-breach-assessment","spectra-privacy-breach-assessment","Privacy and breach governance workflow. Use for data exposure assessment, legal hold readiness, notification clock tracking, regulatory impact, and evidence-backed governance decisions. Not legal advice.","grc","_spectra/grc/workflows/spectra-privacy-breach-assessment/SKILL.md","true"
"spectra-duel-adjudication","spectra-duel-adjudication","Duel adjudication workflow. Use for Red/Blue ledger correlation, Referee scorecards, fairness review, detection latency, mitigation credit, and evidence-backed exercise outcomes.","core","_spectra/core/spectra-duel-adjudication/SKILL.md","true"
"spectra-attack-path","spectra-attack-path","Generate an evidence-anchored attack-path graph from engagement kill-chain and findings, with optional Blue detection overlay. Use to visualize how findings chain into impact and where detection gaps are.","core","_spectra/core/spectra-attack-path/SKILL.md","true"
